"model","family","input_kind","batch_size","num_classes","phase","duration_s","n_samples","throughput_samples_s","gpu_energy_j","gpu_dyn_energy_j","gpu_avg_power_w","gpu_idle_power_w","gpu_dyn_power_w","gpu_peak_power_w","gpu_energy_per_sample_j","cpu_energy_j","cpu_dyn_energy_j","cpu_avg_power_w","cpu_peak_power_w","cpu_energy_per_sample_j","dram_energy_j","dram_dyn_energy_j","dram_avg_power_w","dram_peak_power_w","dram_energy_per_sample_j","system_energy_j","system_dyn_energy_j","system_avg_power_w","system_peak_power_w","system_energy_per_sample_j","gpu_util_pct","cpu_util_pct","gpu_energy_method"
"graphsage","gnn","graph",2708,7,"train",0.21351726597640663,541600,2536563.015282549,31.984,14.834062944079825,149.7958483766563,80.32107837974668,69.47476999690961,96.542,0.00005905465288035451,50.577385,2.229207762279188,236.87726034103832,230.5593332247007,0.00009338512740029542,1.753671,0.0251692546718989,8.21325147631751,7.971005848588894,0.0000032379449778434266,127.0,38.09929277532471,594.7996730813953,596.9412194628378,0.0002344903988183161,66.66666666666667,1.413810865678877,"nvml_counter"
"graphsage","gnn","graph",2708,7,"infer",0.13932178704999387,541600,3887403.481306579,55.198,44.00752382235107,396.19072629460953,80.32107837974668,315.86964791486287,96.542,0.0001019165435745938,32.912147000000004,1.3645603326369375,236.2311573579651,228.9648313943612,0.000060768365952732654,1.1430479999999998,0.01518627426605157,8.20437366045148,7.955739305363219,0.000002110502215657311,91.0,32.991551156716866,653.1641742963417,646.9302580582564,0.00016802067946824226,100.0,1.108173827689285,"nvml_counter"
"gru","rnn","sequence",64,1000,"baseline",5.000504171941429,0,0.0,415.883,0.0,83.16821378403826,83.16821378403826,0.0,97.325,,1112.861226,0.0,222.54980452659743,232.00719732546543,,39.636898,0.0,7.926580328121416,8.189744855077114,,2050.0,0.0,409.9586620690878,438.3410589422479,,0.0,0.3019120240717145,"nvml_counter"
"gru","rnn","sequence",64,1000,"train",1.0520237110322341,12800,12167.026147576826,198.616,111.12106709499388,188.7942238536812,83.16821378403826,105.62601006964293,124.378,0.015516875000000001,248.805271,14.677599752430694,236.50158108687017,238.11953430270032,0.019437911796875,9.427539,1.088588547414604,8.96133699377346,9.003527581454938,0.000736526484375,575.0,143.71376696026869,546.5656277231777,557.9610591390635,0.044921875,88.18181818181819,1.3978538233153415,"nvml_counter"
"gru","rnn","sequence",64,1000,"infer",0.33429620903916657,12800,38289.396211789935,79.025,51.22218141943706,236.39215122161715,83.16821378403826,153.2239374375789,205.086,0.006173828125,79.542032,5.144476024350936,237.9387795889745,239.07758512703822,0.0062142212500000005,2.944363,0.2945372456645776,8.807646992057379,8.775285704619666,0.00023002835937500001,183.0,45.95237340753519,547.4187114654342,547.8104342547655,0.014296875,97.75,1.4561951799431427,"nvml_counter"
"lstm","rnn","sequence",64,1000,"baseline",5.000417497009039,0,0.0,410.823,0.0,82.15773987786632,82.15773987786632,0.0,98.259,,1105.976478,0.0,221.17682746721275,230.98765573121457,,39.47149,0.0,7.893638885874943,8.092918077191579,,2016.0,0.0,403.1663358521273,427.8382568947932,,1.68,0.3107653741733192,"nvml_counter"
"lstm","rnn","sequence",64,1000,"train",1.1347245100187138,12800,11280.271014670252,218.76,125.53359887284319,192.78688181009875,82.15773987786632,110.62914193223243,126.108,0.017090624999999998,267.20585900000003,16.231091824773443,235.48082079904424,242.30873353004074,0.020875457734375002,10.087672,1.130566482960889,8.88997453649224,8.9949619832507,0.0007880993749999999,617.0,159.51727709415462,543.744313754027,574.3265761721987,0.048203125,88.41666666666667,1.2987121701420599,"nvml_counter"
"lstm","rnn","sequence",64,1000,"infer",0.3707038629800081,12800,34528.9091327605,84.974,54.5178084535683,229.22340036306178,82.15773987786632,147.06566048519545,208.548,0.00663859375,87.355978,5.364873656241457,235.64895520042384,233.61437081568852,0.006824685781249999,3.3098330000000002,0.3836305720369513,8.928509601688445,8.900851191532475,0.000258580703125,208.0,58.544681876121075,561.0947734073582,561.359936980018,0.01625,90.0,1.2832668334780335,"nvml_counter"
"mobilenet_v3_large","cnn","image",64,1000,"baseline",5.000399278942496,0,0.0,432.745,0.0,86.5420891132355,86.5420891132355,0.0,265.288,,1103.0470420000001,0.0,220.5917928684441,231.1354108394899,,39.422209,0.0,7.8838122319578385,8.107874046543632,,2014.0,-2.2737367544323206E-13,402.7678366568217,428.4415309172604,,9.84,0.21917491958860816,"nvml_counter"
"mobilenet_v3_large","cnn","image",64,1000,"train",9.758182780002244,12800,1311.7196396681,2856.005,2011.5114762698058,292.677956991429,86.5420891132355,206.13586787819352,295.727,0.223125390625,2244.039299,91.46426442132724,229.96487661604183,242.23654593333464,0.175315570234375,77.36878,0.43709923733796074,7.928605329934413,8.23051879626136,0.0060444359375,6257.0,2326.717831996646,641.2054519846329,666.7275414109879,0.488828125,98.9795918367347,1.3171940508466427,"nvml_counter"
"mobilenet_v3_large","cnn","image",64,1000,"infer",2.5229195409920067,12800,5073.487200851069,773.275,554.9362722579465,306.50006369047736,86.5420891132355,219.95797457724186,299.116,0.060412109374999995,581.207862,24.672517189741257,230.3711444446105,237.09190399794682,0.045406864218749995,20.033361,0.14313706248176317,7.9405469237132005,8.093044333692959,0.001565106328125,1664.0,647.8491544154278,659.553336110639,676.1746033411696,0.13,100.0,1.2257693211491418,"nvml_counter"
"resnet50","cnn","image",64,1000,"baseline",5.000385763007216,0,0.0,429.676,-5.684341886080802E-14,85.92857038725633,85.92857038725633,0.0,286.183,,1099.00622,0.0,219.78428707049616,228.4090408631264,,39.413565,0.0,7.882104875104037,8.04275438119669,,2080.0,0.0,415.96790699385855,438.36449310200044,,4.68,0.2080242459063406,"nvml_counter"
"resnet50","cnn","image",64,1000,"train",25.48353279393632,12800,502.28514639248516,7536.474,5346.710458600288,295.73898018540297,85.92857038725633,209.81040979814662,298.452,0.58878703125,5840.119021,239.23893384709754,229.1722685478533,237.26254966945098,0.456259298515625,200.932099,0.06822093004092267,7.884781934465962,8.17623526619386,0.015697820234375,16836.0,6235.668200896953,660.6619316143656,697.1844063967338,1.3153125,99.60629921259843,1.2702045252354723,"nvml_counter"
"resnet50","cnn","image",64,1000,"infer",8.04569210507907,12800,1590.9134767809023,2393.714,1702.3591796345204,297.5149892311813,85.92857038725633,211.58641884392495,298.625,0.18700890625,1846.878084,78.56138069647704,229.54869014116338,240.48834425179615,0.1442873503125,63.552115,0.13512603497019882,7.898899705580448,8.125193379093934,0.004965008984375,5566.0,2219.2502947332473,691.7987821689455,707.0845416350337,0.43484375,100.0,1.319821082071006,"nvml_counter"
"rnn","rnn","sequence",64,1000,"baseline",5.000499713933095,0,0.0,415.95,0.0,83.18168659044647,83.18168659044647,0.0,99.419,,1099.901237,0.0,219.95826415814014,230.12254079575632,,39.533226,0.0,7.905855066814016,8.190987823812524,,2144.0,0.0,428.7571488157645,467.44913470121605,,4.32,0.20474269378084434,"nvml_counter"
"rnn","rnn","sequence",64,1000,"train",0.3602665279759094,12800,35529.25127936371,77.647,47.67942258087959,215.5265448506839,83.18168659044647,132.34485826023743,93.307,0.006066171875000001,85.94857099999999,6.704970872138915,238.56940438759625,237.52617874331418,0.006714732109374999,3.158868,0.3106530443981632,8.768141791432896,8.713253224208994,0.0002467865625,216.0,61.53315065129422,599.5561153392625,617.0219865742625,0.016875,73.5,1.7243661023538275,"nvml_counter"
"rnn","rnn","sequence",64,1000,"infer",0.1497535388916731,12800,85473.77307229521,45.123,32.66624806210261,301.3150829954044,83.18168659044647,218.13339640495792,93.307,0.0035252343749999997,37.15054,4.21101153384906,248.07787699009577,237.11990983014582,0.0029023859375,1.2764639999999998,0.0925342257799362,8.523765177418298,8.12266325543352,0.00009972374999999999,92.0,27.792099639735554,614.3427439571218,589.8966381685923,0.0071875,98.0,1.7777006149099162,"nvml_counter"
"vgg16","cnn","image",64,1000,"baseline",5.0007758039282635,0,0.0,440.082,5.684341886080802E-14,88.00274542488027,88.00274542488027,0.0,288.441,,1097.711851,0.0,219.50831111798965,237.08059610413085,,39.431067999999996,0.0,7.884990158732107,8.174163930584397,,2133.0,0.0,426.53381867758657,447.97314555828,,7.56,0.2671577259010618,"nvml_counter"
"vgg16","cnn","image",64,1000,"train",41.06994250102434,12800,311.6634507019519,12155.943,8541.675305467883,295.98149546220606,88.00274542488027,207.97875003732577,299.731,0.9496830468749999,9382.535064,367.3413478872026,228.4525979983046,244.94806902637745,0.733010551875,324.034982,0.19888955972959366,7.889832862364444,8.28065137961224,0.02531523296875,28446.0,10928.280592169176,692.6233217709159,746.7399278919717,2.22234375,99.75550122249389,1.2580257391955236,"nvml_counter"
"vgg16","cnn","image",64,1000,"infer",13.126782097970136,12800,975.1056964661075,3907.362,2752.1691367844587,297.6633550277502,88.00274542488027,209.6606096028699,297.883,0.30526265625,3006.8749310000003,125.43716226071501,229.06413076400267,238.94415963192108,0.234912103984375,103.58254500000001,0.07799734168469286,7.890932006559135,8.360174467194508,0.008092386328125001,9499.0,3899.983504804217,723.6350789634027,756.9229790963167,0.742109375,99.65648854961832,1.2939890484818473,"nvml_counter"
"vit_b_16","attention","image",16,1000,"baseline",5.000586843001656,0,0.0,445.424,0.0,89.07434546874691,89.07434546874691,0.0,291.908,,1143.990785,0.0,228.77130643196813,266.6978643808981,,41.253282999999996,-7.105427357601002E-15,8.249688345625705,9.705045888958125,,2278.0,0.0,455.5465331410195,526.9979930133311,,8.16,1.536993256637347,"nvml_counter"
"vit_b_16","attention","image",16,1000,"train",23.822163295932114,3200,134.32869048238092,7087.61,4965.66639676524,297.52167810932116,89.07434546874691,208.44733264057425,300.487,2.214878125,5503.460215,53.63279575393062,231.02268868838516,280.10782049223434,1.7198313171875,190.185028,-6.340394910043614,7.983533050185921,10.046182782887023,0.05943282125,16551.0,5698.896098618883,694.7731738043395,774.9054927203869,5.1721875,99.5798319327731,1.6533712530880382,"nvml_counter"
"vit_b_16","attention","image",16,1000,"infer",8.248026326997206,3200,387.97160352481546,2448.303,1713.6154535137312,296.8350127576926,89.07434546874691,207.76066728894568,299.326,0.7650946875,1896.188933,9.277174687581692,229.89608153813091,259.7076734356237,0.5925590415624999,65.64644,-2.3972066642428445,7.959048310154871,9.267289747977276,0.0205145125,5947.0,2189.6402014805662,721.0209769256493,757.1567474043716,1.8584375,100.0,1.5241078258326661,"nvml_counter"
